patient_id,split,seconds,dice_rv,dice_myo,dice_lv,mean_dice,gate_pass,dist_rv_mm,dist_myo_mm,dist_lv_mm,frac_nonpositive_jac,warped_intensity_residual
patient001,training,8.5,0.5749516441005803,0.7980458366261944,0.9713945817336289,0.7814640208201346,False,2.4727099642191233,0.4453356470692776,0.04998218006285507,0.0,0.34863951802253723
patient002,training,11.6,0.4220985691573927,0.7630133977597189,0.9582677165354331,0.7144598944841816,False,3.0294084797531187,0.5497136811075767,0.07818297645897122,0.0,0.37819522619247437
patient003,training,10.9,0.8791753129392864,0.8925840978593272,0.9810536980749747,0.9176043696245294,True,0.4469078185174078,0.1969687576988741,0.030075724112479274,0.0,0.24869342148303986
patient004,training,12.3,0.7900328864153807,0.8646748681898067,0.9744505791923784,0.8763861112658553,True,0.6833305999016679,0.2693526134974862,0.0434188739775188,0.0,0.23608815670013428
patient005,training,11.8,0.6058823529411764,0.7966356263142085,0.968506085912341,0.7903413550559085,False,1.986799787727603,0.4842883555094435,0.05267600209321752,0.0,0.33346813917160034
patient006,training,13.9,0.7437555621477306,0.8429227444624527,0.9698009608785175,0.8521597558295669,True,1.5520934182620738,0.31632154507708543,0.054253190707665856,0.0,0.2094198763370514
patient007,training,11.5,0.8110568488928928,0.8756785738221299,0.9753833915234013,0.8873729380794746,True,1.1693126994041363,0.2232635460569642,0.040486773202166614,0.0,0.2966022193431854
patient008,training,12.7,0.6773063448812767,0.8322542672160094,0.973060288676984,0.82754030025809,True,1.7749527237082132,0.33316786316960445,0.04530769993628381,0.0,0.26512569189071655
patient009,training,12.0,0.7397214854111406,0.8657018264551603,0.9752925877763329,0.8602386332142112,True,0.9080721049094336,0.2521669630715959,0.03945879530783958,0.0,0.2814738154411316
patient010,training,12.7,0.8428333958925411,0.8784988757075289,0.978852240928483,0.9000615041761844,True,1.0281356759327887,0.21330293878338508,0.03491161054739203,0.0,0.2182585448026657
patient011,training,12.5,0.8740571829503596,0.8657284138455686,0.9748907660937955,0.9048921209632411,True,0.38085397690978806,0.23491333864257274,0.041595978427439506,0.0,0.2239118367433548
patient012,training,11.8,0.5154845154845155,0.790896407394489,0.9618619412853743,0.7560809547214595,False,2.905653385315721,0.6423527170831593,0.06945421165549215,0.0,0.2963935434818268
patient013,training,11.8,0.8324059648341865,0.8045764474748642,0.9674581095943585,0.8681468406344698,True,0.475543786367951,0.44704862668688417,0.05489944762419671,0.0,0.3646335005760193
patient014,training,11.5,0.8009272674587076,0.8412364712294635,0.9791533987177854,0.8737723791353188,True,1.3793923158890546,0.29738185266325495,0.0349432107459966,0.0,0.3005809485912323
patient015,training,10.9,0.6728592162554426,0.761766535351441,0.9657937388040604,0.8001398301369814,True,1.4729187636820245,0.507761733124066,0.0607091801784705,0.0,0.30029183626174927
patient016,training,10.6,0.7989140057840997,0.8668449992569476,0.9834653429207577,0.883074782653935,True,1.2670009649697322,0.22907957298176782,0.026057581570336823,0.0,0.18055494129657745
patient017,training,10.8,0.90559533280297,0.8547813722004977,0.9816929055001402,0.9140232035012025,True,0.3011937601518673,0.252165367223083,0.02938675495040166,0.0,0.3203727900981903
patient018,training,11.0,0.8805776407593704,0.8365490628445424,0.9698231009365245,0.8956499348468124,True,0.40338468639918534,0.28423961378025486,0.050147345350544714,0.0,0.3326933979988098
patient019,training,12.0,0.7526400572758188,0.8119964795883826,0.976875884851345,0.8471708072385155,True,0.7774840132497266,0.38282380270391797,0.038037327017954245,0.0,0.3373992443084717
patient020,training,10.8,0.9059727089702483,0.839300080450523,0.9729800975352577,0.9060842956520098,True,0.25950805744452377,0.31370963026957466,0.044361278981896166,0.0,0.23112042248249054
patient021,training,10.8,0.5425545171339564,0.6426953880143607,0.8722100656455142,0.6858199902646104,False,2.6891176495638094,1.916136426597686,0.573561629548639,0.0,0.5628459453582764
patient022,training,10.0,0.7597402597402597,0.6348136399682791,0.875061244487996,0.756538381398845,False,0.9905180664367197,1.0406351340785662,0.3246422744659987,0.0,0.4607400596141815
patient023,training,10.5,0.706809229037704,0.6681248757208192,0.8640328373524885,0.746322314037004,False,0.9123895311687262,1.0864542426304857,0.2786342600975371,0.0,0.5580381751060486
patient024,training,10.2,0.6570702794242168,0.6332601317628269,0.9086859688195991,0.7330054600022143,False,1.5088359429038456,1.2648651758441423,0.15865848340312633,0.0,0.5877347588539124
patient025,training,10.6,0.488296812749004,0.6974542067680845,0.8881763527054108,0.6913091240741664,False,4.486948689854912,0.9346763408351604,0.2607015584002083,0.0,0.5518392324447632
patient026,training,10.8,0.5708519532939311,0.7411031570273472,0.8991816693944353,0.7370455932385712,False,2.3652560265712785,1.2934086531944158,0.3536554128063478,0.0,0.4846176207065582
patient027,training,10.8,0.5353097934710194,0.6405953801867584,0.8853804862646037,0.6870952199741271,False,2.5839847697738967,1.6740010648089343,0.3647843614372122,0.0,0.5371140241622925
patient028,training,11.0,0.5914681440443214,0.6403002309468823,0.9027237354085603,0.7114973701332546,False,2.107701669909333,1.55860563562603,0.19343869484011111,0.0,0.4272224009037018
